Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","1N4148W","D_SOD-123",34.510000,-75.620000,345.000000,top
"D2","1N4148W","D_SOD-123",54.000000,-76.890000,345.000000,top
"D3","1N4148W","D_SOD-123",73.490000,-77.920000,345.000000,top
"D4","1N4148W","D_SOD-123",93.570000,-79.120000,345.000000,top
"D5","1N4148W","D_SOD-123",110.390000,-87.700000,345.000000,top
"D6","1N4148W","D_SOD-123",127.630000,-96.540000,345.000000,top
"D7","1N4148W","D_SOD-123",178.840000,-93.350000,15.000000,top
"D8","1N4148W","D_SOD-123",196.610000,-84.750000,15.000000,top
"D9","1N4148W","D_SOD-123",213.900000,-76.060000,15.000000,top
"D10","1N4148W","D_SOD-123",233.610000,-74.700000,15.000000,top
"D11","1N4148W","D_SOD-123",252.920000,-73.840000,15.000000,top
"D12","1N4148W","D_SOD-123",272.340000,-72.480000,15.000000,top
"D13","1N4148W","D_SOD-123",30.080000,-94.220000,345.000000,top
"D14","1N4148W","D_SOD-123",49.300000,-95.250000,345.000000,top
"D15","1N4148W","D_SOD-123",68.690000,-96.280000,345.000000,top
"D16","1N4148W","D_SOD-123",88.340000,-97.570000,345.000000,top
"D17","1N4148W","D_SOD-123",105.580000,-106.150000,345.000000,top
"D18","1N4148W","D_SOD-123",122.680000,-114.830000,345.000000,top
"D19","1N4148W","D_SOD-123",183.960000,-111.990000,15.000000,top
"D20","1N4148W","D_SOD-123",201.150000,-103.300000,15.000000,top
"D21","1N4148W","D_SOD-123",218.630000,-94.310000,15.000000,top
"D22","1N4148W","D_SOD-123",237.950000,-93.350000,15.000000,top
"D23","1N4148W","D_SOD-123",257.560000,-92.190000,15.000000,top
"D24","1N4148W","D_SOD-123",277.460000,-91.320000,15.000000,top
"D25","1N4148W","D_SOD-123",25.260000,-111.920000,345.000000,top
"D26","1N4148W","D_SOD-123",44.870000,-113.070000,345.000000,top
"D27","1N4148W","D_SOD-123",64.470000,-114.220000,345.000000,top
"D28","1N4148W","D_SOD-123",84.180000,-115.370000,345.000000,top
"D29","1N4148W","D_SOD-123",101.580000,-124.840000,345.000000,top
"D30","1N4148W","D_SOD-123",117.840000,-133.540000,345.000000,top
"D31","1N4148W","D_SOD-123",189.050000,-130.510000,15.000000,top
"D32","1N4148W","D_SOD-123",206.710000,-121.530000,15.000000,top
"D33","1N4148W","D_SOD-123",223.390000,-112.360000,15.000000,top
"D34","1N4148W","D_SOD-123",243.490000,-111.100000,15.000000,top
"D35","1N4148W","D_SOD-123",261.910000,-110.150000,15.000000,top
"D36","1N4148W","D_SOD-123",282.020000,-108.950000,15.000000,top
"D37","1N4148W","D_SOD-123",94.990000,-149.130000,345.000000,top
"D38","1N4148W","D_SOD-123",113.640000,-154.010000,345.000000,top
"D39","1N4148W","D_SOD-123",130.760000,-161.950000,330.000000,top
"D40","1N4148W","D_SOD-123",174.590000,-156.040000,30.000000,top
"D41","1N4148W","D_SOD-123",194.590000,-150.700000,15.000000,top
"D42","1N4148W","D_SOD-123",213.400000,-145.680000,15.000000,top
"SW43","SW_PUSH","SW_SPST_PTS645",147.780000,-117.400000,0.000000,top
